Ranking,goals_for,goals_against
1,210,88
2,206,117
3,126,74
4,123,80
5,77,52
6,88,59
7,96,68
8,71,44
9,76,65
10,74,69
11,64,59
12,64,44
13,44,40
14,52,89
15,87,57
16,47,49
17,43,47
18,39,22
19,46,63
20,34,45
21,38,52
22,30,38
23,30,32
24,27,24
25,32,56
26,28,61
27,15,11
28,17,34
29,25,41
30,22,53
31,20,17
32,12,16
33,19,31
34,9,10
35,10,10
36,13,23
37,17,21
38,14,23
39,11,16
40,12,21
41,12,18
42,7,8
43,7,8
44,8,17
45,7,6
46,5,5
47,6,12
48,9,32
49,5,7
50,9,9
51,8,17
52,4,4
53,6,18
54,5,12
55,5,7
56,5,10
57,6,21
58,3,9
59,2,6
60,4,14
61,2,15
62,1,2
63,1,3
64,3,6
65,2,6
66,0,4
67,1,20
68,0,6
69,1,4
70,1,6
71,0,5
72,2,11
73,0,9
74,2,14
75,0,14
76,1,22
