Ranking,Matches Played,Won,Tie,Lost,Points
1,97,67,15,15,216
2,99,60,19,20,199
3,80,44,21,15,153
4,70,37,13,20,124
5,59,26,19,14,97
6,56,28,12,16,96
7,54,25,11,18,86
8,43,22,10,11,76
9,47,18,12,17,66
10,46,16,13,17,61
11,43,17,8,18,59
12,37,17,6,14,57
13,31,15,5,11,50
14,49,12,13,24,49
15,32,15,3,14,48
16,33,12,5,16,41
17,29,12,4,13,40
18,23,12,3,8,39
19,36,10,9,17,39
20,29,9,6,14,33
21,29,9,6,14,33
22,27,7,10,10,31
23,21,8,5,8,29
24,16,8,2,6,26
25,29,7,5,17,26
26,28,5,8,15,23
27,13,6,2,5,20
28,20,4,7,9,19
29,23,4,7,12,19
30,26,3,8,15,17
31,10,5,1,4,16
32,14,4,3,7,15
33,15,4,3,8,15
34,9,4,2,3,14
35,13,2,8,3,14
36,13,3,5,5,14
37,14,4,2,8,14
38,13,3,2,8,11
39,9,2,4,3,10
40,10,3,1,6,10
41,13,2,4,7,10
42,7,3,0,4,9
43,8,2,3,3,9
44,10,2,3,5,9
45,5,2,2,1,8
46,6,2,2,2,8
47,9,2,2,5,8
48,13,2,2,9,8
49,5,2,1,2,7
50,6,2,1,3,7
51,12,1,4,7,7
52,5,1,3,1,6
53,9,1,2,6,5
54,3,1,1,1,4
55,4,1,1,2,4
56,6,1,1,4,4
57,7,1,1,5,4
58,3,1,0,2,3
59,6,0,3,3,3
60,6,0,3,3,3
61,6,1,0,5,3
62,3,0,2,1,2
63,3,0,2,1,2
64,4,0,2,2,2
65,3,0,1,2,1
66,3,0,1,2,1
67,6,0,1,5,1
68,1,0,0,1,0
69,3,0,0,3,0
70,3,0,0,3,0
71,3,0,0,3,0
72,3,0,0,3,0
73,3,0,0,3,0
74,3,0,0,3,0
75,3,0,0,3,0
76,6,0,0,6,0
